1 sheet(s) availble.
Sheet: 'StrKo' (column count: 9)
[StrKoData],,,,,,,,,
id,str #1,str #2,str #3,str #4,str #5,str #6,str #7,str #8,
확인,확인,,,,,,,,
예,예,,,,,,,,
아니요,아니요,,,,,,,,
잔해를 치울까요? {0}골드가 필요합니다.,잔해를 치울까요? {0}골드가 필요합니다.,,,,,,,,
설정,설정,,,,,,,,
배경음악,배경음악,,,,,,,,
효과음,효과음,,,,,,,,
클리어를 축하합니다. {0}골드를 받았습니다.,클리어를 축하합니다. {0}골드를 받았습니다.,,,,,,,,
남은 시간,남은 시간,,,,,,,,
광고 시청 보상으로 {0}골드를 받았습니다.,광고 시청 보상으로 {0}골드를 받았습니다.,,,,,,,,
골드가 부족합니다.,골드가 부족합니다.,,,,,,,,
다음 스테이지 준비중\n{0:F1}초,다음 스테이지 준비중\n{0:F1}초,,,,,,,,
바로 시작,바로 시작,,,,,,,,
광고 시청 후 바로 시작,▶ 광고 시청 후 바로 시작,,,,,,,,
이 스테이지를 처음부터 새로 시작하겠습니까?,이 스테이지를 처음부터 새로 시작하겠습니까?,,,,,,,,
모든 스테이지를 깼습니다!\n진정한 미술관 재건이 시작되는 다음 업데이트를 기대 해 주세요!,모든 스테이지를 깼습니다!\n\n진정한 미술관 재건이 시작되는 다음 업데이트를 기대 해 주세요!,,,,,,,,
$저장 데이터 개발팀으로 제출 결과$,업로드가 성공적으로 완료됐습니다.\n\n업로드 코드: {0}\n용량: {1:n0}바이트\nTS: {2}\n\n<color=brown>본 화면의 스크린샷을 찍어 공식 카페에 버그 신고를 부탁 드립니다.</color>\n\n업로드된 데이터를 분석 후, 카페를 통해 이후 진행을 안내드리겠습니다.\n\n공식 카페로 이동하거나, 안내 받은 복구 코드를 입력하세요.,,,,,,,,
닫기,닫기,,,,,,,,
복구 코드 입력,복구 코드 입력,,,,,,,,
업로드 완료,업로드 완료,,,,,,,,
저장 파일 문제 업로드 중...,저장 파일 문제 업로드 중…,,,,,,,,
안내 받은 복구 코드를 입력해 주십시오.,안내 받은 복구 코드를 입력해 주십시오.,,,,,,,,
취소,취소,,,,,,,,
복구 코드,복구 코드,,,,,,,,
복구 코드 확인중...,복구 코드 확인중…,,,,,,,,
$복구 코드 오류$,복구 코드가 잘못됐거나, 복구 데이터가 존재하지 않습니다.\n\n확인을 눌러 처음 화면으로 돌아갑니다.,,,,,,,,
$중대한 오류 안내$,컬러뮤지엄 저장 파일을 불러오는 중 오류가 발생했습니다.\n더 심각한 데이터 유실을 막기 위해 게임 플레이는 중단됐습니다.\n문제 해결을 위해서는 게임 진행 상황이 모두 담긴 파일을 업로드해야 합니다.\n문제 분석 및 수정이 되면 게임을 재개할 수 있습니다.\n업로드를 진행하시겠습니까?\n\n(인터넷 연결이 필요합니다.),,,,,,,,
중대한 오류 발생,중대한 오류 발생,,,,,,,,
$강제 업데이트 안내$,컬러뮤지엄 업데이트가 필요합니다.\n\n확인을 눌러 업데이트하세요!\n\n저장 파일 버전: {0}\n클라이언트 지원 버전: {1},,,,,,,,
$업로드 불가 시 게임 진행 불가 안내$,진행 상황을 업로드하지 않으면 더이상 게임을 진행할 수 없습니다.\n\n업로드가 불가한 증상의 경우 네이버 공식 카페로 이동하여 해결 방법에 대해 문의해 주시기 바랍니다.,,,,,,,,
공식 카페 이동,공식 카페 이동,,,,,,,,
유저 세이브 코드 확인중...,유저 세이브 코드 확인중…,,,,,,,,
나는야 화가!,나는야 화가!,,,,,,,,
채색의 달인이 되었다,채색의 달인이 되었다,,,,,,,,
색칠 {1} 콤보,색칠 {1} 콤보,,,,,,,,
{1}번 연속 색칠 성공! 대단한 집중력!,{1}번 연속 색칠 성공! 대단한 집중력!,,,,,,,,
(오프라인),(오프라인),,,,,,,,
$AdMob 광고 볼 수 없는 사유 설명$,광고를 볼 수 없습니다.\n\n1. 잠시 기다린 후 다시 버튼을 눌러 재시도 해 보세요.\n2. (동일한 증상 반복 시) 게임을 재시작 후 다시 시도 해 주세요.\n\n더 보여드릴 광고가 없는 경우도 있습니다.\n이 경우 하루 정도 지난 후 다시 시도 해 주세요.,,,,,,,,
그림을 준비하는 중...,그림을 준비하는 중…,,,,,,,,
'{0}' 스테이지를 다시 시작할까요?\n\n설정 메뉴에서 언제든지 미술관으로 돌아올 수 있습니다.,'{0}' 스테이지를 다시 시작할까요?\n\n설정 메뉴에서 언제든지 미술관으로 돌아올 수 있습니다.,,,,,,,,
컬러뮤지엄를 종료하시겠습니까?,컬러뮤지엄를 종료하시겠습니까?,,,,,,,,
